Layer,Name,GEOID,Population,Longitude,Latitude,EKW_2024,INC_2019-2023,CZM_2023,EDB_2019-2023
Census tract,Tract 3108,17031310800,4175,-87.66857370,41.85593370,16.83,72059.0,145.0,72.75080906148868
Census tract,Tract 3109,17031310900,4781,-87.67467410,41.85577160,15.17,76757.99999999999,197.0,72.76940903823869
Census tract,Tract 3201.01,17031320101,9532,-87.61705900,41.88502590,17.26,129221.0,208.0,92.48205515678126
Census tract,Tract 3201.02,17031320102,4846,-87.62419440,41.88512490,18.31,109211.0,639.0,99.42084942084942
Census tract,Tract 3204,17031320400,2856,-87.61725560,41.87581700,19.17,137917.0,595.0,98.92205638474294
Census tract,Tract 3206,17031320600,6395,-87.61659620,41.87055420,17.08,117846.99999999999,352.0,100.0
Census tract,Tract 3301.01,17031330101,4592,-87.61322500,41.85912030,16.83,181012.99999999997,144.0,94.72461073669533
Census tract,Tract 3301.02,17031330102,10811,-87.62398830,41.86357210,16.83,110464.0,321.0,96.85489635453897
Census tract,Tract 3301.03,17031330103,8248,-87.62341720,41.85647960,16.83,122956.99999999999,350.0,97.26531685511438
Census tract,Tract 3302,17031330200,4008,-87.63056800,41.86557830,14.5,140556.0,220.0,92.5925925925926
Census tract,Tract 3403,17031340300,1865,-87.63578820,41.84280460,14.17,50542.99999999999,24.0,73.58346094946401
Census tract,Tract 3404,17031340400,1844,-87.63203560,41.84188570,17.0,41125.0,80.0,81.83229813664596
Census tract,Tract 3405,17031340500,1629,-87.63291690,41.83451810,16.67,61017.99999999999,58.0,80.44444444444444
Census tract,Tract 3406,17031340600,1151,-87.63265160,41.82728640,15.58,20588.0,109.0,83.01886792452831
Census tract,Tract 3501,17031350100,2228,-87.60794920,41.84025900,11.33,64999.99999999999,42.0,100.0
Census tract,Tract 3504,17031350400,1512,-87.62836950,41.84192910,13.0,20937.999999999996,61.0,73.85272145144077
Census tract,Tract 3510,17031351000,3640,-87.60652820,41.83556750,13.89,61346.99999999999,440.0,96.29027009437031
Census tract,Tract 3511,17031351100,2038,-87.61418940,41.82775400,11.39,19913.0,140.0,87.60757314974182
Census tract,Tract 3514,17031351400,1392,-87.62409090,41.82740190,15.0,30541.999999999996,71.0,89.46360153256705
Census tract,Tract 3515,17031351500,823,-87.62773090,41.82724020,13.75,65938.0,41.0,90.17543859649123
Census tract,Tract 3602,17031360200,1651,-87.60988760,41.82688550,14.17,28455.999999999996,123.0,99.08814589665651
Census tract,Tract 3801,17031380100,2207,-87.61009740,41.82020190,16.0,79734.0,97.0,87.18882817243473
Census tract,Tract 3802,17031380200,2408,-87.61498610,41.82057400,12.58,18689.999999999996,98.0,83.1858407079646
Census tract,Tract 3806,17031380600,3947,-87.62293560,41.82015100,14.89,35804.0,336.0,84.64854111405835
Census tract,Tract 3812,17031381200,2077,-87.61399920,41.80851140,14.0,53749.99999999999,79.0,86.3529411764706
Census tract,Tract 3814,17031381400,1796,-87.62142980,41.80762020,12.83,44399.0,195.0,81.87976291278576
Census tract,Tract 3815,17031381500,667,-87.62286190,41.81019270,15.0,25018.999999999996,62.0,91.63346613545816
